time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
253,1,0,0,0,0,0.337845,100,0,0,0,0,0,0,0,2571,0,0,219,0,0,3,0,0,0.0630709,419,0.0263486,419,0.007257,419,0.0294454,419,0.0279809,419,0.0001604,419,0.0008156,31,0.0003359,53,0.0265594,419,0.001945,419,0.0009847,419,0,0,0.001584,17,0.0004085,419,0.0007333,419,0.0058421,419,0.0002082,419,2.95e-005,419,0.0144891,419,0.00211,419,0.0094433,419,0.0026121,419,43576,419
353,1,15,4.5,0.9,0.09,0.198555,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.0808829,619,0.0283692,619,0.0106744,619,0.0418093,619,0.0396811,619,0.0002281,619,0.0012536,47,0.0005101,78,0.0375309,619,0.0028972,619,0.0014049,619,0,0,0.001584,17,0.000579,619,0.0009692,619,0.0088496,619,0.0003099,619,4.44e-005,619,0.0204227,619,0.0029162,619,0.0132501,619,0.0037949,619,63994,619
453,1,23,10.05,2.73,0.354,0.116638,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.0950478,819,0.0285563,819,0.013455,819,0.0529976,819,0.0502676,819,0.0002911,819,0.0015137,59,0.0006719,103,0.0475873,819,0.0038987,819,0.0018118,819,0,0,0.001584,17,0.0007335,819,0.0011697,819,0.0113342,819,0.0003982,819,5.89e-005,819,0.0259724,819,0.003619,819,0.0168107,819,0.0049452,819,84394,819
553,1,12,10.635,4.311,0.7497,0.180916,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.113935,1019,0.02884,1019,0.0175961,1019,0.0674485,1019,0.063949,1019,0.0003665,1019,0.0018681,72,0.0008624,128,0.0605938,1019,0.0051599,1019,0.0024125,1019,0,0,0.001584,17,0.0009327,1019,0.001428,1019,0.014697,1019,0.0005116,1019,7.32e-005,1019,0.0330017,1019,0.0045355,1019,0.0213865,1019,0.0063241,1019,104794,1019
653,1,6,9.2445,5.2977,1.2045,0.16024,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.131839,1219,0.0291082,1219,0.0215696,1219,0.0810986,1219,0.0768974,1219,0.0004379,1219,0.0025578,96,0.0010215,153,0.0725699,1219,0.0062718,1219,0.0028705,1219,0,0,0.001584,17,0.0011161,1219,0.001743,1219,0.0179205,1219,0.0006249,1219,8.83e-005,1219,0.0394008,1219,0.0053117,1219,0.0255877,1219,0.0075958,1219,125194,1219
753,1,28,14.8712,7.21239,1.80529,0.729492,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.226157,1419,0.0295469,1419,0.0247036,1419,0.171834,1419,0.167032,1419,0.0004976,1419,0.0087546,190,0.0012757,178,0.156177,1419,0.0071067,1419,0.0032743,1419,0.0096105,14,0.001584,17,0.0012566,1405,0.0165914,1419,0.0201149,1419,0.0007092,1419,0.0012175,1419,0.0936268,1419,0.0129207,1419,0.0306812,1419,0.04877,1419,286507,1419
853,1,32,20.0098,9.77187,2.60195,0.875435,12,0,0,0,0,0,0,0,2682,0,0,219,0,0,0,0,0,0.327116,1619,0.0303922,1619,0.0277383,1619,0.268902,1619,0.263479,1619,0.0005657,1619,0.0166625,304,0.0015502,203,0.244358,1619,0.0079341,1619,0.0037389,1619,0.0135529,28,0.0016778,19,0.0014115,1590,0.0290285,1619,0.0220993,1619,0.0007903,1619,0.0025244,1619,0.160372,1619,0.0262814,1619,0.0358056,1619,0.0966894,1619,465700,1619
953,1,29,22.7069,12.3589,3.57764,0.767082,12,12.8129,0.0954357,0.315765,0.00391197,0.00301696,8.4768,0,97,13,0,219,20,0,0,0,0,0.418322,1819,0.0318913,1819,0.0314294,1819,0.354907,1819,0.348738,1819,0.0006506,1819,0.0172152,321,0.0017333,228,0.328779,1819,0.0089689,1819,0.0043255,1819,0.0135529,28,0.0016905,20,0.0015996,1774,0.0304686,1819,0.0251639,1819,0.0009009,1819,0.0025617,1819,0.238122,1819,0.0439458,1819,0.0438954,1819,0.147971,1819,651021,1819
1053,1,34,26.0948,15.1061,4.73048,1.12392,13,5.99757,0.21549,0.214044,0.00406706,0.00324205,8.31055,0,53,10,0,219,0,0,0,0,0,0.504405,2019,0.0327103,2019,0.0349014,2019,0.436689,2019,0.429859,2019,0.0007279,2019,0.0175501,333,0.0018956,253,0.409311,2019,0.0099052,2019,0.004839,2019,0.0135529,28,0.001745,24,0.0017526,1953,0.0317692,2019,0.0279486,2019,0.001009,2019,0.0025797,2019,0.312618,2019,0.0601171,2019,0.0517077,2019,0.197797,2019,836054,2019
1153,1,1,18.5664,15.7981,5.83724,1.09756,13,4.73632,0.167332,0.185936,0.00572283,0.00419753,8.27867,0,44,7,0,219,0,0,0,0,0,0.609874,2219,0.0340137,2219,0.039315,2219,0.536431,2219,0.5288,2219,0.0008356,2219,0.0179919,346,0.0020754,278,0.507504,2219,0.0109964,2219,0.0055183,2219,0.0135529,28,0.0026437,37,0.0019426,2130,0.0335717,2219,0.0312785,2219,0.0011401,2219,0.0025979,2219,0.40244,2219,0.0814618,2219,0.0616654,2219,0.255557,2219,1021054,2219
