Atom,Name,biotech,bluespace,combat,engineering,magnets,materials,plasmatech,powerstorage,programming,syndicate
/obj/item/ammo_magazine/a12mm,"magazine (12mm)",,,2,,,,,,,
/obj/item/ammo_magazine/a12mm/empty,"magazine (12mm)",,,2,,,,,,,
/obj/item/ammo_magazine/a50,"magazine (.50)",,,2,,,,,,,
/obj/item/ammo_magazine/a50/empty,"magazine (.50)",,,2,,,,,,,
/obj/item/ammo_magazine/a762,"magazine (a762)",,,2,,,,,,,
/obj/item/ammo_magazine/a762/empty,"magazine (a762)",,,2,,,,,,,
/obj/item/ammo_magazine/c45,"Ammunition Box (.45)",,,2,,,,,,,
/obj/item/ammo_magazine/c9mm,"Ammunition Box (9mm)",,,2,,,,,,,
/obj/item/ammo_magazine/mc9mm,"magazine (9mm)",,,2,,,,,,,
/obj/item/ammo_magazine/mc9mm/empty,"magazine (9mm)",,,2,,,,,,,
/obj/item/bluespace_crystal,"bluespace crystal",,4,,,,3,,,,
/obj/item/bluespace_crystal/artificial,"artificial bluespace crystal",,2,,,,,,,,
/obj/item/brain,"brain",3,,,,,,,,,
/obj/item/clothing/glasses/hud,"HUD",2,,,,3,,,,,
/obj/item/clothing/glasses/hud/health,"Health Scanner HUD",2,,,,3,,,,,
/obj/item/clothing/glasses/hud/health/mech,"Integrated Medical Hud",2,,,,3,,,,,
/obj/item/clothing/glasses/hud/security,"Security HUD",2,,,,3,,,,,
/obj/item/clothing/glasses/hud/security/jensenshades,"Augmented shades",2,,,,3,,,,,
/obj/item/clothing/glasses/material,"Optical Material Scanner",,,,3,3,,,,,
/obj/item/clothing/glasses/meson,"Optical Meson Scanner",,,,2,2,,,,,
/obj/item/clothing/glasses/meson/prescription,"prescription mesons",,,,2,2,,,,,
/obj/item/clothing/glasses/meson/truesight,"The Lens of Truesight",,,,2,2,,,,,
/obj/item/clothing/glasses/night,"Night Vision Goggles",,,,,2,,,,,
/obj/item/clothing/glasses/thermal,"Optical Thermal Scanner",,,,,3,,,,,
/obj/item/clothing/glasses/thermal/eyepatch,"Optical Thermal Eyepatch",,,,,3,,,,,
/obj/item/clothing/glasses/thermal/jensen,"Optical Thermal Implants",,,,,3,,,,,
/obj/item/clothing/glasses/thermal/monocle,"Thermonocle",,,,,3,,,,,
/obj/item/clothing/glasses/thermal/syndi,"Optical Meson Scanner",,,,,3,,,,,4
/obj/item/clothing/mask/gas/voice,"gas mask",,,,,,,,,,4
/obj/item/clothing/mask/gas/voice/space_ninja,"ninja mask",,,,,,,,,,4
/obj/item/clothing/shoes/syndigaloshes,"brown shoes",,,,,,,,,,3
/obj/item/clothing/under/chameleon,"black jumpsuit",,,,,,,,,,3
/obj/item/clothing/under/chameleon/all,"black jumpsuit",,,,,,,,,,3
/obj/item/clothing/under/chameleon/verb,"black jumpsuit",,,,,,,,,,3
/obj/item/device/aicard,"inteliCard",,,,,,4,,,4,
/obj/item/device/analyzer,"analyzer",,,,1,1,,,,,
/obj/item/device/analyzer/plant_analyzer,"plant analyzer",,,,1,1,,,,,
/obj/item/device/assembly,"assembly",,,,,1,,,,,
/obj/item/device/assembly/igniter,"igniter",,,,,1,,,,,
/obj/item/device/assembly/infra,"infrared emitter",,,,,2,,,,,
/obj/item/device/assembly/infra/verb,"infrared emitter",,,,,2,,,,,
/obj/item/device/assembly/mousetrap,"mousetrap",,,1,,,,,,,
/obj/item/device/assembly/mousetrap/armed,"mousetrap",,,1,,,,,,,
/obj/item/device/assembly/mousetrap/verb,"mousetrap",,,1,,,,,,,
/obj/item/device/assembly/prox_sensor,"proximity sensor",,,,,1,,,,,
/obj/item/device/assembly/signaler,"remote signaling device",,,,,1,,,,,
/obj/item/device/assembly/signaler/verb,"remote signaling device",,,,,1,,,,,
/obj/item/device/assembly/speaker,"speaker",,,,,1,,,,,
/obj/item/device/assembly/timer,"timer",,,,,1,,,,,
/obj/item/device/assembly/voice,"voice analyzer",,,,,1,,,,,
/obj/item/device/batterer,"mind batterer",,,3,,3,,,,,3
/obj/item/device/chameleon,"chameleon-projector",,,,,4,,,,,4
/obj/item/device/debugger,"debugger",,,,1,1,,,,,
/obj/item/device/encryptionkey/binary,"item",,,,,,,,,,3
/obj/item/device/encryptionkey/syndicate,"item",,,,,,,,,,3
/obj/item/device/encryptionkey/syndicate/hacked,"Standard Encryption Key",,,,,,,,,,3
/obj/item/device/flash,"flash",,,1,,2,,,,,
/obj/item/device/flash/synthetic,"synthetic flash",,,1,,2,,,,,
/obj/item/device/gps,"global positioning system",,2,,,2,,,,,
/obj/item/device/gps/engineering,"global positioning system",,2,,,2,,,,,
/obj/item/device/gps/mining,"global positioning system",,2,,,2,,,,,
/obj/item/device/gps/paramedic,"global positioning system",,2,,,2,,,,,
/obj/item/device/gps/science,"global positioning system",,2,,,2,,,,,
/obj/item/device/healthanalyzer,"Health Analyzer",1,,,,1,,,,,
/obj/item/device/healthanalyzer/verb,"Health Analyzer",1,,,,1,,,,,
/obj/item/device/lightreplacer,"light replacer",,,,,3,2,,,,
/obj/item/device/mass_spectrometer,"mass-spectrometer",2,,,,2,,,,,
/obj/item/device/mass_spectrometer/adv,"advanced mass-spectrometer",2,,,,4,,,,,
/obj/item/device/mmi,"Man-Machine Interface",3,,,,,,,,,
/obj/item/device/mmi/posibrain,"positronic brain",,2,,4,,4,,,4,
/obj/item/device/mmi/radio_enabled,"Radio-enabled Man-Machine Interface",4,,,,,,,,,
/obj/item/device/mmi/radio_enabled/verb,"Radio-enabled Man-Machine Interface",4,,,,,,,,,
/obj/item/device/multitool,"multitool",,,,1,1,,,,,
/obj/item/device/multitool/uplink,"multitool",,,,1,1,,,,,
/obj/item/device/paicard,"personal AI device",,,,,,,,,2,
/obj/item/device/powersink,"power sink",,,,,,,,3,,5
/obj/item/device/radio/beacon,"Tracking Beacon",,1,,,,,,,,
/obj/item/device/radio/beacon/bacon,"Tracking Beacon",,1,,,,,,,,
/obj/item/device/radio/beacon/syndicate,"suspicious beacon",,1,,,,,,,,7
/obj/item/device/radio/beacon/verb,"Tracking Beacon",,1,,,,,,,,
/obj/item/device/radio/headset/binary,"radio headset",,,,,,,,,,3
/obj/item/device/radio/headset/syndicate,"radio headset",,,,,,,,,,3
/obj/item/device/reagent_scanner,"reagent scanner",2,,,,2,,,,,
/obj/item/device/reagent_scanner/adv,"advanced reagent scanner",2,,,,4,,,,,
/obj/item/device/robotanalyzer,"cyborg analyzer",,,,3,3,,,,,
/obj/item/device/soulstone,"Soul Stone Shard",,4,,,,4,,,,
/obj/item/device/t_scanner,"T-ray scanner",,,,1,1,,,,,
/obj/item/device/telepad_beacon,"telepad beacon",,3,,,,,,,,
/obj/item/device/wormhole_jaunter,"wormhole jaunter",,2,,,,,,,,
/obj/item/mecha_parts,"mecha part",,,,,,2,,,2,
/obj/item/mecha_parts/chassis,"Mecha Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/durand,"Durand Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/firefighter,"Firefighter Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/gygax,"Gygax Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/honker,"H.O.N.K Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/odysseus,"Odysseus Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/chassis/phazon,"Phazon Chassis",,,,,,7,,,,
/obj/item/mecha_parts/chassis/ripley,"Ripley Chassis",,,,,,2,,,2,
/obj/item/mecha_parts/janicart_upgrade,"Janicart Cleaner Upgrade",,,,2,,2,,,,
/obj/item/mecha_parts/mecha_equipment,"mecha equipment",,,,,,2,,,,
/obj/item/mecha_parts/mecha_equipment/anticcw_armor_booster,"Armor Booster Module (Close Combat Weaponry)",,,,,,3,,,,
/obj/item/mecha_parts/mecha_equipment/antiproj_armor_booster,"Armor Booster Module (Ranged Weaponry)",,,,,,4,,,,
/obj/item/mecha_parts/mecha_equipment/generator,"Plasma Converter",,,,1,,,2,2,,
/obj/item/mecha_parts/mecha_equipment/generator/nuclear,"ExoNuclear Reactor",,,,3,,,,3,,
/obj/item/mecha_parts/mecha_equipment/gravcatapult,"Gravitational Catapult",,2,,,3,,,,,
/obj/item/mecha_parts/mecha_equipment/repair_droid,"Repair Droid",,,,,3,,,,3,
/obj/item/mecha_parts/mecha_equipment/teleporter,"Teleporter",,10,,,,,,,,
/obj/item/mecha_parts/mecha_equipment/tesla_energy_relay,"Energy Relay",,,,,4,,,,,2
/obj/item/mecha_parts/mecha_equipment/tool,"mecha equipment",,,,,,2,,,,
/obj/item/mecha_parts/mecha_equipment/tool/cable_layer,"Cable Layer",,,,,,2,,,,
/obj/item/mecha_parts/mecha_equipment/tool/drill,"Drill",,,,,,2,,,,
